Player Name,Team,Position,positional_rating,rating_att,att_eff,att_vol,att_raw,rating_blk,blk_eff,blk_vol,blk_raw,rating_serv,serv_eff,serv_vol,serv_raw,rating_set,set_eff,set_vol,set_raw,rating_def,def_eff,def_vol,def_raw,rating_recv,recv_eff,recv_vol,recv_raw
Shoji,USA,LIBERO,23.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.37,0.31,0.33,0.15,18.07,0.35,0.26,0.12
Simón,CUB,MIDDLE BLOCKER,84.01,52.94,2.5,0.39,0.51,72.46,0.21,0.84,0.43,22.82,0.08,0.44,0.09,0.0,0.0,0.0,0.0,17.14,1.12,0.29,0.21,4.0,0.43,0.07,0.03
Soshi,JPN,LIBERO,8.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89,2.5,0.12,0.1,3.28,0.27,0.07,0.02
Stefanović,SRB,MIDDLE BLOCKER,6.66,5.04,1.6,0.07,0.05,5.72,0.19,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.4,0.06,0.02,1.74,0.67,0.03,0.01
Strehlau,FRA,OUTSIDE HITTER,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synytsia,UKR,SETTER,25.77,1.09,1.0,0.02,0.01,7.68,0.16,0.16,0.05,3.6,0.05,0.11,0.01,25.47,0.33,0.37,0.17,5.63,0.75,0.14,0.07,0.0,0.0,0.0,0.0
Szalpuk,POL,OUTSIDE HITTER,37.07,29.8,0.76,0.4,0.29,20.56,0.25,0.3,0.12,4.18,0.05,0.13,0.02,0.05,0.06,0.0,0.0,13.13,0.6,0.29,0.16,21.59,0.21,0.37,0.14
Szymura,POL,OUTSIDE HITTER,53.47,26.16,0.7,0.37,0.25,20.66,0.2,0.32,0.12,9.13,0.06,0.22,0.04,0.0,0.0,0.0,0.0,7.05,0.29,0.22,0.09,54.57,0.39,0.62,0.35
T. Štern,SLO,OPPOSITE SPIKER,36.51,40.78,0.68,0.54,0.4,6.97,0.1,0.17,0.04,12.94,0.08,0.26,0.05,0.02,0.05,0.0,0.0,7.64,0.18,0.27,0.09,0.44,0.2,0.01,0.0
Tatarov,BUL,OUTSIDE HITTER,9.95,4.82,0.36,0.12,0.05,12.81,0.22,0.22,0.08,4.73,0.08,0.11,0.02,0.0,0.0,0.0,0.0,7.11,1.1,0.15,0.09,1.8,0.07,0.08,0.01
Telkiyski,BUL,SETTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tevkun,UKR,OPPOSITE SPIKER,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
Thiago,CUB,MIDDLE BLOCKER,1.88,0.0,0.0,0.01,0.0,2.5,1.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
